"user_id","product_id","action","timestamp"
"U0001","P0507","view","2026-12-08T19:28:44Z"
"U0001","P0889","click","2026-11-04T18:20:31Z"
"U0001","P0683","search","2026-05-25T10:51:48Z"
"U0001","P0337","add_to_wishlist","2026-05-09T19:50:46Z"
"U0001","P0615","add_to_cart","2026-10-18T04:25:27Z"
"U0001","P0674","remove_from_cart","2026-02-05T18:13:19Z"
"U0001","P0942","checkout","2026-03-12T16:13:51Z"
"U0001","P0420","purchase","2026-12-07T07:03:17Z"
"U0002","P0648","view","2026-09-02T17:46:37Z"
"U0002","P1051","click","2026-01-13T08:05:23Z"
"U0002","P0598","search","2026-11-20T07:43:01Z"
"U0002","P0003","add_to_wishlist","2026-01-22T02:08:06Z"
"U0002","P0455","add_to_cart","2026-08-08T02:49:44Z"
"U0002","P1151","remove_from_cart","2026-09-01T18:41:44Z"
"U0002","P0559","checkout","2026-05-12T13:39:20Z"
"U0002","P0375","purchase","2026-12-04T17:28:41Z"
"U0003","P0663","view","2026-04-18T21:19:19Z"
"U0003","P0022","click","2026-06-22T04:17:11Z"
"U0003","P0389","search","2026-12-19T20:26:57Z"
"U0003","P0080","add_to_wishlist","2026-05-27T16:42:31Z"
"U0003","P0264","add_to_cart","2026-05-22T05:23:28Z"
"U0003","P0631","remove_from_cart","2026-08-04T19:02:32Z"
"U0003","P0954","checkout","2026-08-14T20:16:02Z"
"U0003","P1005","purchase","2026-03-26T15:45:05Z"
"U0004","P1084","view","2026-05-16T22:38:56Z"
"U0004","P1160","click","2026-04-04T03:42:28Z"
"U0004","P0075","search","2026-02-05T11:39:24Z"
"U0004","P0111","add_to_wishlist","2026-07-17T00:59:52Z"
"U0004","P0446","add_to_cart","2026-08-05T06:01:58Z"
"U0004","P0589","remove_from_cart","2026-12-06T16:27:46Z"
"U0004","P0620","checkout","2026-04-15T20:06:24Z"
"U0004","P0987","purchase","2026-05-14T01:49:48Z"
"U0005","P0256","view","2026-05-01T03:33:38Z"
"U0005","P0207","click","2026-05-27T11:45:12Z"
"U0005","P1115","search","2026-09-05T21:30:13Z"
"U0005","P1005","add_to_wishlist","2026-04-16T19:46:50Z"
"U0005","P0907","add_to_cart","2026-12-03T12:26:36Z"
"U0005","P0879","remove_from_cart","2026-06-02T21:45:12Z"
"U0005","P0295","checkout","2026-09-09T03:03:20Z"
"U0005","P0255","purchase","2026-01-17T07:55:15Z"
"U0006","P0887","view","2026-12-31T16:06:54Z"
"U0006","P0479","click","2026-02-04T12:34:08Z"
"U0006","P0111","search","2026-08-09T05:57:42Z"
"U0006","P0083","add_to_wishlist","2026-06-01T08:29:59Z"
"U0006","P1102","add_to_cart","2026-03-31T19:19:01Z"
"U0006","P0983","remove_from_cart","2026-02-25T20:13:06Z"
"U0006","P0648","checkout","2026-01-25T01:40:04Z"
"U0006","P0337","purchase","2026-07-05T13:22:46Z"
"U0007","P0757","view","2026-02-13T12:41:10Z"
"U0007","P0960","click","2026-01-03T23:02:55Z"
"U0007","P0650","search","2026-04-26T03:54:26Z"
"U0007","P0421","add_to_wishlist","2026-11-23T21:58:12Z"
"U0007","P0386","add_to_cart","2026-04-02T14:56:43Z"
"U0007","P1018","remove_from_cart","2026-03-26T13:31:46Z"
"U0007","P0038","checkout","2026-04-10T11:17:52Z"
"U0007","P0883","purchase","2026-01-02T23:24:28Z"
"U0008","P0861","view","2026-03-07T08:49:29Z"
"U0008","P0920","click","2026-09-12T17:54:36Z"
"U0008","P0632","search","2026-04-14T00:37:55Z"
"U0008","P0878","add_to_wishlist","2026-10-06T03:46:32Z"
"U0008","P0409","add_to_cart","2026-04-29T11:22:36Z"
"U0008","P1104","remove_from_cart","2026-02-02T23:39:29Z"
"U0008","P0437","checkout","2026-11-10T10:40:15Z"
"U0008","P0844","purchase","2026-02-26T19:01:04Z"
"U0009","P1153","view","2026-10-08T21:22:27Z"
"U0009","P0187","click","2026-08-06T04:24:12Z"
"U0009","P0576","search","2026-10-14T13:53:19Z"
"U0009","P0329","add_to_wishlist","2026-12-10T07:41:11Z"
"U0009","P1092","add_to_cart","2026-08-04T01:20:48Z"
"U0009","P0152","remove_from_cart","2026-01-01T22:42:01Z"
"U0009","P0899","checkout","2026-05-27T11:34:56Z"
"U0009","P0760","purchase","2026-09-27T07:43:23Z"
"U0010","P0284","view","2026-07-13T21:11:51Z"
"U0010","P1099","click","2026-09-17T06:13:39Z"
"U0010","P0135","search","2026-05-10T22:49:10Z"
"U0010","P0372","add_to_wishlist","2026-04-11T14:27:58Z"
"U0010","P0874","add_to_cart","2026-11-25T01:43:16Z"
"U0010","P0773","remove_from_cart","2026-03-14T14:55:05Z"
"U0010","P0208","checkout","2026-12-20T23:03:31Z"
"U0010","P1161","purchase","2026-01-18T21:47:57Z"
"U0011","P0356","view","2026-10-31T06:24:37Z"
"U0011","P0834","click","2026-04-04T05:55:08Z"
"U0011","P1171","search","2026-12-19T15:53:18Z"
"U0011","P1178","add_to_wishlist","2026-05-09T06:32:22Z"
"U0011","P0201","add_to_cart","2026-02-13T08:20:30Z"
"U0011","P0707","remove_from_cart","2026-03-18T03:52:35Z"
"U0011","P0765","checkout","2026-09-20T03:53:12Z"
"U0011","P0069","purchase","2026-07-04T22:34:00Z"
